symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,horsepower,peak-rpm,city-mpg,highway-mpg,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_fwd,drive-wheels_rwd,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,price
-1,74.0,18063.18181818182,0,0,0,104.3,188.8,67.2,57.5,3042,4,141,3.78,114.0,5400.0,24,28,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,16515.0
2,104.0,15335.0,0,0,0,99.1,186.6,66.5,56.1,2695,4,121,3.54,110.0,5250.0,21,28,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,12170.0
0,106.0,8295.5,0,0,1,96.5,167.5,65.2,53.3,2289,4,110,3.15,86.0,5800.0,27,33,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,9095.0
0,91.0,10006.25,0,0,0,95.7,166.3,64.4,52.8,2122,4,98,3.19,70.0,4800.0,28,34,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,8358.0
0,115.0,10040.555555555555,0,0,0,100.4,183.1,66.9,55.1,2563,4,109,3.19,88.0,5500.0,25,31,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,12290.0
3,115.0,15498.333333333334,0,0,1,88.6,168.8,64.1,48.8,2548,4,130,3.47,111.0,5000.0,21,27,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,16500.0
3,150.0,10415.285714285714,0,0,1,95.3,169.0,65.7,49.6,2380,2,70,3.31,101.0,6000.0,17,23,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,10945.0
0,77.0,10006.25,0,0,0,95.7,169.7,63.6,59.1,2280,4,92,3.05,62.0,4800.0,31,37,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6918.0
3,150.0,15335.0,0,0,1,99.1,186.6,66.5,56.1,2707,4,121,2.54,110.0,5250.0,21,28,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,15040.0
0,91.0,10006.25,0,0,0,95.7,169.7,63.6,59.1,3110,4,92,3.05,62.0,4800.0,27,32,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,8778.0
1,231.0,10733.375,0,0,1,99.2,178.5,67.9,49.7,3139,6,181,3.43,160.0,5200.0,19,25,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,18399.0
0,108.0,10733.375,0,0,0,100.4,184.6,66.5,56.1,3296,6,181,3.43,152.0,5200.0,17,22,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,14399.0
1,119.0,8362.0,0,1,1,93.7,157.3,63.8,50.8,2128,4,98,3.03,102.0,5500.0,24,30,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,7957.0
1,128.0,10733.375,1,0,1,94.5,165.3,63.8,54.5,2017,4,103,2.99,55.0,4800.0,45,50,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,7099.0
2,161.0,9766.142857142857,0,0,1,93.7,157.3,64.4,50.8,1944,4,92,2.97,68.0,5500.0,31,38,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6189.0
3,115.0,8362.0,0,1,1,95.9,173.2,66.3,50.2,2818,4,156,3.59,145.0,5000.0,19,24,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,12764.0
-1,95.0,18063.18181818182,0,1,0,109.1,188.8,68.9,55.5,3062,4,141,3.78,114.0,5400.0,19,25,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,22625.0
1,118.0,7875.444444444444,0,0,1,93.7,157.3,63.8,50.8,1876,4,90,2.97,68.0,5500.0,37,41,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,5572.0
0,115.0,10040.555555555555,1,1,0,100.4,180.2,66.9,55.1,2579,4,97,3.01,68.0,4500.0,33,38,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,13845.0
1,115.0,37304.0,0,0,1,112.0,199.2,72.0,55.4,3715,8,304,3.8,184.0,4500.0,14,16,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,45400.0
0,115.0,15848.0,0,0,0,114.2,198.9,68.4,58.7,3230,4,120,3.46,97.0,5000.0,19,24,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,12440.0
0,115.0,22865.0,0,0,0,103.5,189.0,66.9,55.7,3230,6,209,3.62,182.0,5400.0,16,22,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,30760.0
1,128.0,10733.375,0,0,1,94.5,165.6,63.8,53.3,2028,4,97,3.15,69.0,5200.0,31,37,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,7799.0
2,122.0,10040.555555555555,0,0,1,97.3,171.7,65.5,55.7,2209,4,109,3.19,85.0,5250.0,27,34,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,7975.0
3,194.0,10733.375,0,1,1,91.3,170.7,67.9,49.7,3139,6,181,3.43,200.0,5200.0,17,23,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,19699.0
